2024-01-13 00:14:00.957 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-01-13 00:14:00.957 [info] Added views:workbench.panel.output in workbench.panel.output
2024-01-13 00:14:00.957 [info] Added views:terminal in terminal
2024-01-13 00:14:00.957 [info] Added views:outline in workbench.view.explorer
2024-01-13 00:14:00.957 [info] Added views:workbench.scm in workbench.view.scm
2024-01-13 00:14:00.957 [info] Added views:workbench.view.search in workbench.view.search
2024-01-13 00:14:00.957 [info] Added views:timeline in workbench.view.explorer
2024-01-13 00:14:00.957 [info] Added views:workbench.explorer.emptyView in workbench.view.explorer
2024-01-13 00:14:01.446 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2024-01-13 00:14:01.678 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-01-13 00:14:01.680 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-01-13 00:14:01.681 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-01-13 00:14:01.747 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-01-13 00:14:14.703 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-01-13 00:14:14.705 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2024-01-13 00:14:14.982 [info] Added views:workbench.views.extensions.popular in workbench.view.extensions
2024-01-13 00:14:53.080 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2024-01-13 00:14:53.092 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-01-13 00:15:19.270 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-01-13 00:15:19.288 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-01-13 00:15:21.410 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2024-01-13 00:15:21.427 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-01-13 00:15:27.573 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-01-13 00:15:27.592 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-01-13 00:15:36.239 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2024-01-13 00:15:36.248 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-01-13 00:15:43.607 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-01-13 00:15:43.626 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-01-13 00:15:48.799 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2024-01-13 00:15:48.860 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-01-13 00:15:58.377 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-01-13 00:15:58.394 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-01-13 00:16:00.751 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2024-01-13 00:16:00.762 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-01-13 00:16:14.460 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-01-13 00:16:14.475 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-01-13 00:16:17.755 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2024-01-13 00:16:17.766 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-01-13 00:16:22.576 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-01-13 00:16:22.588 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-01-13 00:16:51.924 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2024-01-13 00:16:51.934 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
